Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Express Line,Volvo A/C Seater (2+2),18:30,22:50,04h 20m,INR 486,8 Seats available,"4.5
288",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:30,20:00,01h 30m,INR 429,21 Seats available,"4.5
92",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Greenline,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),18:35,20:45,02h 10m,INR 429,20 Seats available,"3.2
11",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Suman sabir,Non AC Seater (2+3),18:50,22:00,03h 10m,INR 111,61 Seats available,1.2,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),19:30,22:15,02h 45m,INR 400,36 Seats available,"2.2
9",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Suman sabir,Non AC Seater (2+3),21:00,23:59,02h 59m,INR 111,54 Seats available,1.2,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pammi Travels,A/C Sleeper (2+1),21:00,23:59,02h 59m,INR 950,11 Seats available,3.8,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pammi Travels,Non A/C Seater / Sleeper (2+1),21:00,23:59,02h 59m,INR 550,17 Seats available,3.8,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pariwartan Bus Service,NON A/C Seater / Sleeper (2+2),18:30,21:30,03h 00m,INR 500,54 Seats available, ,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Satadal Travels,A/C Seater (2+2),05:55,09:30,03h 35m,167,35 Seats available,"3.7
106",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
Diamond City Service,A/C Executive (2+3),06:30,10:15,03h 45m,170,30 Seats available,"4.5
460",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
Droupadi City Service,A/C Seater (2+3),07:00,09:35,02h 35m,INR 160,58 Seats available,"3.0
41",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
Droupadi Bus Service,Non AC Seater (2+3),07:15,10:15,03h 00m,INR 121,54 Seats available,"3.7
22",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
Gogol City Service,AC Seater (2+3),07:50,10:45,02h 55m,148,43 Seats available,"4.1
227",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
KRISHNAKALI,A/C Seater (2+3),06:25,09:15,02h 50m,INR 169,60 Seats available,"2.5
31",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
WBTC (CTC) Habra- Barasat- Haldia - 180|07:40,Non AC Seater (2+3),07:40,10:45,03h 05m,INR 97,48 Seats available,"4.2
31",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
Gogol City Service,AC Seater (2+3),12:50,15:35,02h 45m,148,61 Seats available,"4.0
165",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
Gogol City Service,AC Seater (2+3),13:30,16:15,02h 45m,143,56 Seats available,"4.2
278",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
Satadal Travels,A/C Seater (2+2),14:55,18:15,03h 20m,167,44 Seats available,"3.8
74",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
Diamond City Service,A/C Executive (2+3),15:10,18:55,03h 45m,170,49 Seats available,"4.5
380",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
Droupadi City Service,A/C Seater (2+3),15:20,18:10,02h 50m,INR 160,60 Seats available,"3.1
67",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
Droupadi Paribahan,A/C Seater (2+3),14:10,16:58,02h 48m,INR 160,61 Seats available,"2.6
28",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
KRISHNAKALI,A/C Seater (2+3),14:45,17:30,02h 45m,INR 165,61 Seats available,"2.6
54",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
